Country ,Total doses given ,People fully vaccinated ,Percent fully vaccinated
China  ,2044625000 ,889439000 ,63.4 
India  ,684515513 ,159196152 ,11.7 
United States ,374488924 ,175968266 ,53.4 
Brazil ,200714744 ,66548816 ,31.5 
Japan ,133058203 ,59593329 ,47.3 
Indonesia ,105005826 ,38223153 ,14.3 
Germany ,102453033 ,50762444 ,61 
Turkey ,97113297 ,38288329 ,46 
United Kingdom ,91623530 ,43378193 ,65.3 
France ,88660059 ,40912442 ,61 
